drone, Distance: 0.45 m, Angle: 124.16 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.08 degrees
drone, Distance: 0.46 m, Angle: 124.09 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.09 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.08 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.08 degrees
drone, Distance: 0.45 m, Angle: 124.07 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.07 degrees
drone, Distance: 0.46 m, Angle: 124.08 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.08 degrees
drone, Distance: 0.46 m, Angle: 124.08 degrees
drone, Distance: 0.46 m, Angle: 124.06 degrees
drone, Distance: 0.46 m, Angle: 124.09 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.09 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.07 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.07 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.08 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.06 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.07 degrees
drone, Distance: 0.45 m, Angle: 124.07 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.13 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.13 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.13 degrees
drone, Distance: 0.45 m, Angle: 124.14 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.13 degrees
drone, Distance: 0.45 m, Angle: 124.13 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.14 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.15 m, Angle: 128.40 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.14 m, Angle: 128.88 degrees
drone, Distance: 0.21 m, Angle: 128.10 degrees
drone, Distance: 0.23 m, Angle: 128.38 degrees
drone, Distance: 0.16 m, Angle: 128.30 degrees
drone, Distance: 0.14 m, Angle: 127.44 degrees
drone, Distance: 0.13 m, Angle: 127.30 degrees
drone, Distance: 0.14 m, Angle: 127.41 degrees
drone, Distance: 0.14 m, Angle: 127.43 degrees
drone, Distance: 0.14 m, Angle: 127.39 degrees
drone, Distance: 0.14 m, Angle: 127.36 degrees
drone, Distance: 0.14 m, Angle: 127.39 degrees
drone, Distance: 0.17 m, Angle: 128.16 degrees
drone, Distance: 0.16 m, Angle: 127.66 degrees
drone, Distance: 0.17 m, Angle: 128.14 degrees
drone, Distance: 0.17 m, Angle: 128.23 degrees
drone, Distance: 0.14 m, Angle: 127.54 degrees
drone, Distance: 0.14 m, Angle: 127.54 degrees
drone, Distance: 0.14 m, Angle: 127.58 degrees
drone, Distance: 0.14 m, Angle: 127.63 degrees
drone, Distance: 0.15 m, Angle: 127.79 degrees
drone, Distance: 0.15 m, Angle: 127.83 degrees
drone, Distance: 0.16 m, Angle: 128.13 degrees
drone, Distance: 0.16 m, Angle: 128.13 degrees
drone, Distance: 0.17 m, Angle: 128.14 degrees
drone, Distance: 0.16 m, Angle: 128.13 degrees
drone, Distance: 0.17 m, Angle: 128.12 degrees
drone, Distance: 0.16 m, Angle: 128.16 degrees
