                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,
1,1.2061,2.0451,1.1255,0.18703,0.8115,0.18963,0.12099,1.156,3.7241,1.0723,0.0033317,0.0033317,0.0033317,
2,1.2683,1.2807,1.1665,0.18213,0.80337,0.18004,0.11295,1.2326,3.554,1.1506,0.0063351,0.0063351,0.0063351,
3,1.3354,1.2783,1.2112,0.18311,0.80477,0.18118,0.11413,1.231,4.1294,1.1415,0.0090085,0.0090085,0.0090085,
4,1.3376,1.2513,1.2232,0.19013,0.82244,0.18791,0.12559,1.115,3.4306,1.1098,0.008515,0.008515,0.008515,
5,1.2703,1.1735,1.1905,0.19219,0.87377,0.19756,0.13477,1.0638,3.3843,1.0766,0.008515,0.008515,0.008515,
6,1.2214,1.1108,1.1625,0.1936,0.87265,0.19556,0.13623,1.0276,3.0996,1.0578,0.00802,0.00802,0.00802,
7,1.1844,1.0768,1.1474,0.19326,0.87854,0.19442,0.13618,0.99722,3.2722,1.0362,0.007525,0.007525,0.007525,
8,1.1601,1.0466,1.1337,0.19404,0.90379,0.19689,0.14028,0.95813,3.0531,1.0156,0.00703,0.00703,0.00703,
9,1.126,1.0092,1.115,0.1949,0.8979,0.19855,0.14403,0.94747,3.3019,1.0036,0.006535,0.006535,0.006535,
10,1.1097,0.9956,1.1062,0.19612,0.90715,0.19671,0.14126,0.9308,3.1021,0.99538,0.00604,0.00604,0.00604,
11,1.0299,0.88638,1.0528,0.19699,0.91641,0.19825,0.14378,0.91871,2.8628,0.99765,0.005545,0.005545,0.005545,
12,1.0132,0.86504,1.0458,0.19616,0.91641,0.20081,0.14889,0.90067,2.925,0.98609,0.00505,0.00505,0.00505,
13,0.98661,0.84634,1.0307,0.19744,0.91978,0.20187,0.15091,0.88791,2.8789,0.97657,0.004555,0.004555,0.004555,
14,0.96901,0.8343,1.0196,0.19776,0.92819,0.20128,0.15128,0.87201,2.9005,0.96995,0.00406,0.00406,0.00406,
15,0.95132,0.81453,1.0106,0.19804,0.93633,0.20604,0.15694,0.85724,2.8732,0.9604,0.003565,0.003565,0.003565,
16,0.93102,0.79983,0.99858,0.19765,0.92679,0.20403,0.15623,0.84725,2.9011,0.95482,0.00307,0.00307,0.00307,
17,0.91229,0.7842,0.99031,0.19817,0.9338,0.20477,0.15726,0.83843,2.8749,0.95095,0.002575,0.002575,0.002575,
18,0.89581,0.77122,0.98309,0.19775,0.94081,0.20291,0.15601,0.82856,2.8507,0.94378,0.00208,0.00208,0.00208,
19,0.87674,0.75188,0.97364,0.19863,0.93997,0.20502,0.15887,0.82371,2.8695,0.94214,0.001585,0.001585,0.001585,
20,0.85873,0.74276,0.96275,0.19865,0.93548,0.20367,0.15834,0.8193,2.8706,0.93698,0.00109,0.00109,0.00109,
