                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4504,                 2.4055,                 1.6313,                0.20324,                0.23232,                0.14679,                0.05697,                 1.5169,                 4.8179,                 1.9641,             0.00065556,             0.00065556,             0.00065556
                      2,                 1.5038,                 2.0843,                 1.6547,                 0.1209,                0.27273,                0.07839,                0.02516,                  2.349,                 6.7101,                 2.9774,              0.0013091,              0.0013091,              0.0013091
                      3,                 1.5606,                 1.9875,                 1.7233,                 0.2255,                0.14141,                 0.1179,                0.04741,                  2.384,                 5.9281,                 3.4233,              0.0019495,              0.0019495,              0.0019495
                      4,                  1.582,                 1.8219,                 1.7102,                0.17405,                0.44444,                0.17113,                0.06666,                 2.0711,                 4.1198,                 2.8335,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5944,                 1.7462,                 1.7058,                0.13814,                0.28283,                0.09403,                0.04329,                 2.5433,                 3.3948,                 2.6274,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5813,                 1.6807,                 1.7039,                0.32168,                0.43434,                0.24528,                0.12674,                 1.7407,                 5.4624,                 2.2502,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5816,                 1.6709,                 1.6927,                 0.3482,                0.25253,                0.25156,                0.11695,                 1.7496,                 3.2902,                 2.0448,               0.001901,               0.001901,               0.001901
                      8,                 1.4826,                 1.5196,                 1.6067,                0.34907,                0.48485,                0.37934,                0.19505,                 1.6383,                 2.4592,                 1.8845,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4845,                 1.4938,                 1.6124,                0.32153,                0.54571,                0.33483,                0.16162,                 1.6228,                 2.4119,                 1.9131,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4442,                 1.4116,                 1.5942,                 0.3443,                0.54631,                0.32193,                0.18041,                 1.6168,                   2.77,                 2.0259,              0.0018416,              0.0018416,              0.0018416
