                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8094,                 4.7404,                 1.3366,                0.19599,                0.50321,                0.18085,                0.07211,                 1.1655,                 24.186,                0.97551,             0.00066446,             0.00066446,             0.00066446
                      2,                 1.8852,                 2.3297,                 1.4608,                0.22326,                0.27857,                0.16668,                0.07594,                 1.1152,                  5.199,                 0.8961,              0.0012652,              0.0012652,              0.0012652
                      3,                 1.9099,                 1.9304,                 1.4916,                0.19887,                0.43571,                0.17959,                0.08547,                 1.1039,                 9.9747,                0.92473,                 0.0018,                 0.0018,                 0.0018
                      4,                 1.8838,                 1.8198,                 1.4801,                0.16172,                    0.6,                0.16502,                0.08048,                  1.081,                 3.3831,                0.96009,               0.001703,               0.001703,               0.001703
                      5,                 1.7992,                 1.6908,                 1.4372,                0.19912,                0.61429,                0.18164,                0.09194,                 1.0998,                 3.3121,                0.94517,               0.001703,               0.001703,               0.001703
                      6,                 1.8186,                 1.6235,                 1.4286,                 0.1625,                0.55714,                0.16435,                0.07216,                  1.135,                 2.7816,                0.94415,               0.001604,               0.001604,               0.001604
                      7,                  1.748,                 1.5122,                 1.4263,                0.20228,                0.67143,                0.19322,                0.08741,                 1.0409,                 4.6663,                0.86315,               0.001505,               0.001505,               0.001505
                      8,                 1.7242,                 1.4992,                 1.3868,                0.17695,                0.62857,                 0.1922,                 0.0891,                 1.1075,                 2.1963,                0.91269,               0.001406,               0.001406,               0.001406
                      9,                 1.7141,                 1.4667,                 1.3964,                0.18667,                0.82143,                0.20978,                0.10923,                 1.0181,                  3.772,                0.87835,               0.001307,               0.001307,               0.001307
                     10,                 1.6649,                 1.4563,                 1.3768,                0.18644,                0.72143,                0.21253,                0.11762,                0.96384,                 2.0626,                0.82425,               0.001208,               0.001208,               0.001208
                     11,                 1.6569,                 1.4331,                   1.38,                0.18105,                0.72857,                0.18762,                0.10024,                 1.0241,                 3.1759,                0.88325,               0.001109,               0.001109,               0.001109
                     12,                 1.6147,                 1.4323,                 1.3732,                0.18715,                0.81734,                 0.1886,                0.09996,                0.94141,                 2.8766,                0.83567,                0.00101,                0.00101,                0.00101
                     13,                 1.6118,                 1.3883,                 1.3598,                 0.1878,                0.75714,                0.20548,                0.10903,                0.93873,                 2.4578,                0.84426,               0.000911,               0.000911,               0.000911
                     14,                 1.5914,                 1.3354,                 1.3358,                0.18936,                0.84286,                0.19055,                0.10107,                0.98644,                 2.5682,                0.86274,               0.000812,               0.000812,               0.000812
                     15,                 1.5608,                 1.3739,                 1.3227,                0.20273,                0.81429,                0.21543,                0.11103,                0.91802,                  2.334,                0.82905,               0.000713,               0.000713,               0.000713
                     16,                 1.5342,                 1.2902,                 1.3112,                0.20149,                0.78571,                0.20378,                0.11032,                0.92461,                 2.4016,                0.82306,               0.000614,               0.000614,               0.000614
                     17,                 1.5186,                 1.2389,                 1.3134,                 0.1907,                0.83571,                0.19282,                0.10506,                 0.9267,                  2.385,                0.83443,               0.000515,               0.000515,               0.000515
                     18,                 1.5341,                 1.2511,                 1.3379,                0.18867,                0.86429,                0.20028,                0.11159,                0.90566,                 2.4444,                0.81329,               0.000416,               0.000416,               0.000416
                     19,                 1.5134,                 1.2074,                 1.3117,                0.19096,                0.74286,                0.20793,                0.11431,                0.93068,                 2.3088,                0.81926,               0.000317,               0.000317,               0.000317
                     20,                 1.4784,                 1.1525,                 1.2919,                0.20187,                0.79286,                0.20739,                0.11877,                0.88607,                 2.3365,                0.79779,               0.000218,               0.000218,               0.000218
